player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Robert Tonyan,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Johnny Mundt,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Josiah Deguara,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Harrison Bryant,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Lawrence Cager,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Albert Okwuegbunam,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Colby Parkinson,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Sean McKeon,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Jack Stoll,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Feleipe Franks,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
John Bates,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Brock Wright,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Shane Zylstra,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Ko Kieft,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Jake Tonges,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Teagan Quitoriano,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Stone Smartt,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Julian Hill,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
John FitzPatrick,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Nate Adkins,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Brayden Willis,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Ben Sims,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Zack Kuntz,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Lucas Krull,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Cole Fotheringham,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Jared Wiley,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Tip Reiman,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Blake Whiteheart,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Princeton Fant,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Justin Shorter,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
David Martin-Robinson,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Brenden Bates,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
