player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Eric Saubert,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.75,11.38,71.07,0.51,14.04,61,348,
Darnell Washington,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.5,10.95,72.09,0.49,13.9,62,349,
Irv Smith Jr.,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.04,11.63,67.62,0.53,13.72,63,350,
Jaheim Bell,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.37,10.66,73.95,0.39,13.42,64,354,
Ian Thomas,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.61,11.29,70.78,0.4,13.28,65,355,
Greg Dulcich,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7,10.92,73.75,0.36,13.04,66,358,
Kylen Granson,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.74,9.98,71.04,0.4,12.87,67,360,
Dominique Dafney,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.23,10.85,70.78,0.34,12.73,68,361,
Connor Heyward,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,5.58,8.2,51.5,0.36,10.1,69,371,
Hunter Long,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,5.58,8.32,52.43,0.34,10.07,70,373,
Tanner Hudson,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.66,6.52,42.4,0.34,8.61,71,379,
Cam Grandy,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.7,6.52,41.88,0.34,8.58,72,380,
Erick All Jr.,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.72,6.52,41.68,0.34,8.57,73,381,
Devin Culp,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.29,5.91,40.57,0.34,8.24,74,385,
Tucker Fisk,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.93,5.7,38.03,0.33,7.75,75,390,
Zach Davidson,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.77,5.54,38.23,0.34,7.75,75,390,
Elijah Higgins,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.09,5.65,38.92,0.29,7.68,77,392,
Luke Farrell,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.75,5.51,36.71,0.3,7.35,78,393,
Durham Smythe,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.87,5.64,36.81,0.17,6.64,79,400,
James Mitchell,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.66,5.4,35.66,0.17,6.42,80,405,
Mo Alie-Cox,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.48,5.37,34.79,0.18,6.3,81,407,
Andrew Ogletree,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.61,5.37,33.37,0.17,6.16,82,408,
Brevyn Spann-Ford,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,2.05,3.01,18.22,0.17,3.87,83,415,
Will Mallory,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,1.83,2.67,16.18,0.17,3.55,84,419,
Chris Manhertz,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Robert Tonyan,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Johnny Mundt,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Josiah Deguara,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Harrison Bryant,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Lawrence Cager,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Albert Okwuegbunam,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Colby Parkinson,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Sean McKeon,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Jack Stoll,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Feleipe Franks,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
John Bates,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Brock Wright,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Shane Zylstra,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Ko Kieft,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Jake Tonges,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Teagan Quitoriano,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Stone Smartt,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Julian Hill,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
